"idtdestinatario","codigofabrica","nombre","domicilio","idlocalidad","codigopostal","localidad","provincia","pais","tipodestinatario","descripcion","full_address","gps_coords"
"100000000097"," 199961","CAT ARGENTINA S.A.-PUERTO LIMA","RUTA 197 KM 3;5 Y LINIERS","401.0","0.0","TIGRE BS.AS (G.T.)","BUENOS AIRES","ARGENTINA                                         ","PLAYAS DE TERCEROS","CAT ARGENTINA S.A.-PUERTO LIMA (RUTA 197 KM 3;5 Y LINIERS Loc.TIGRE BS.AS (G.T.))","RUTA 197 KM 3;5 Y LINIERS, TIGRE BS.AS (G.T.), BUENOS AIRES, ARGENTINA, 0.0, CAT ARGENTINA S.A.-PUERTO LIMA (RUTA 197 KM 3;5 Y LINIERS Loc.TIGRE BS.AS (G.T.))",""
"300000000102","0","LA PERSEVERANCIA SEGUROS S. A.","GALPON DE LA EMPRESA","17894.0","0.0","TRES ARROYOS","BUENOS AIRES","ARGENTINA                                         ","OTROS DESTINOS","LA PERSEVERANCIA SEGUROS S. A. (GALPON DE LA EMPRESA Loc.TRES ARROYOS)","GALPON DE LA EMPRESA, TRES ARROYOS, BUENOS AIRES, ARGENTINA, 0.0, LA PERSEVERANCIA SEGUROS S. A. (GALPON DE LA EMPRESA Loc.TRES ARROYOS)",""
"300000000047","0-1","SUNCHALES","25 DE MAYO Y MITRE ","2957.0","0.0","SANTA FE","SANTA FE","ARGENTINA                                         ","PLAYAS DE TERCEROS","SUNCHALES (25 DE MAYO Y MITRE  Loc.SANTA FE)","25 DE MAYO Y MITRE, SANTA FE, SANTA FE, ARGENTINA, 0.0, SUNCHALES (25 DE MAYO Y MITRE  Loc.SANTA FE)",""
"300000000055","0-2","LOBOS  MARTA COMODORO RIVADAVIA","TLORENTINO AMEGHINO 828 ","19526.0","0.0","COMODORO RIVADAVIA","CHUBUT","ARGENTINA                                         ","OTROS DESTINOS","LOBOS  MARTA COMODORO RIVADAVIA (TLORENTINO AMEGHINO 828  Loc.COMODORO RIVADAVIA)","TLORENTINO AMEGHINO 828, COMODORO RIVADAVIA, CHUBUT, ARGENTINA, 0.0, LOBOS  MARTA COMODORO RIVADAVIA (TLORENTINO AMEGHINO 828  Loc.COMODORO RIVADAVIA)",""
"300000000045","00034","DIVISA AUTOMOTORES S.A ","RUTA INTERNACIONAL KM 3.5 CIUDAD DEL ESTE","101010.0","0.0","CIUDAD DEL ESTE","PARAGUAY","PARAGUAY                                          ","INTERNACIONAL","DIVISA AUTOMOTORES S.A (RUTA INTERNACIONAL KM 3.5 CIUDAD DEL ESTE Loc.CIUDAD DEL ESTE)","RUTA INTERNACIONAL KM 3.5 CIUDAD DEL ESTE, CIUDAD DEL ESTE, PARAGUAY, PARAGUAY, 0.0, DIVISA AUTOMOTORES S.A (RUTA INTERNACIONAL KM 3.5 CIUDAD DEL ESTE Loc.CIUDAD DEL ESTE)",""
"200000002669","0012","EVENTO MARROCHI","AV. ALMAFUERTE 2650. VILLA LOLA (PUR SANG), PARANÁ. ENTRE RÍOS","3307.0","0.0","PARANA","ENTRE RIOS","ARGENTINA                                         ","OTROS DESTINOS","EVENTO MARROCHI (AV. ALMAFUERTE 2650. VILLA LOLA (PUR SANG), PARANÁ. ENTRE RÍOS Loc.PARANA)","AV. ALMAFUERTE 2650. VILLA LOLA (PUR SANG), PARANÁ. ENTRE RÍOS, PARANA, ENTRE RIOS, ARGENTINA, 0.0, EVENTO MARROCHI (AV. ALMAFUERTE 2650. VILLA LOLA (PUR SANG), PARANÁ. ENTRE RÍOS Loc.PARANA)",""
"200000002714","00125","ARMAR CARROCERIA","RUTA NACIONAL AO12 KM1.3","1733.0","0.0","ALVEAR(SANTA FE)","SANTA FE","ARGENTINA                                         ","CARROCERAS","ARMAR CARROCERIA (RUTA NACIONAL AO12 KM1.3 Loc.ALVEAR(SANTA FE))","RUTA NACIONAL AO12 KM1.3, ALVEAR(SANTA FE), SANTA FE, ARGENTINA, 0.0, ARMAR CARROCERIA (RUTA NACIONAL AO12 KM1.3 Loc.ALVEAR(SANTA FE))",""
"200000002672","0013","VOLVO TRUCKS AND BUSES ARGENTINA S.A","COSTA RICA 5490 Y COLECTORA OESTE","259.0","0.0","GRAND BOURG","BUENOS AIRES","ARGENTINA                                         ","OTROS DESTINOS","VOLVO TRUCKS AND BUSES ARGENTINA S.A (COSTA RICA 5490 Y COLECTORA OESTE Loc.GRAND BOURG)","COSTA RICA 5490 Y COLECTORA OESTE, GRAND BOURG, BUENOS AIRES, ARGENTINA, 0.0, VOLVO TRUCKS AND BUSES ARGENTINA S.A (COSTA RICA 5490 Y COLECTORA OESTE Loc.GRAND BOURG)",""
"200000002673","0014","FILMACION PROGRAMA RESTO DEL MUNDO"," HONDURAS 4075 (CABA)","1425.0","0.0","CIUDAD AUTONOMA DE BS.AS (CAP.FED.)","CAPITAL FEDERAL","ARGENTINA                                         ","OTROS DESTINOS","FILMACION PROGRAMA RESTO DEL MUNDO ( HONDURAS 4075 (CABA) Loc.CIUDAD AUTONOMA DE BS.AS (CAP.FED.))","HONDURAS 4075 (CABA), CIUDAD AUTONOMA DE BS.AS (CAP.FED.), CAPITAL FEDERAL, ARGENTINA, 0.0, FILMACION PROGRAMA RESTO DEL MUNDO ( HONDURAS 4075 (CABA) Loc.CIUDAD AUTONOMA DE BS.AS (CAP.FED.))",""
"200000002715","00152","ARMAR CARROCERIA","RUTA NACIONAL AO12 KM1.3","1733.0","0.0","ALVEAR(SANTA FE)","SANTA FE","ARGENTINA                                         ","CARROCERAS","ARMAR CARROCERIA (RUTA NACIONAL AO12 KM1.3 Loc.ALVEAR(SANTA FE))","RUTA NACIONAL AO12 KM1.3, ALVEAR(SANTA FE), SANTA FE, ARGENTINA, 0.0, ARMAR CARROCERIA (RUTA NACIONAL AO12 KM1.3 Loc.ALVEAR(SANTA FE))",""
