vin,date,destino,movimiento,user,clima,lugar,type,localSQL_id
8AWJB62H0SA028679,2025-12-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H0SA028827,2025-12-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H0SA033428,2025-12-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H0SA039181,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H1TA002982,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H3SA038932,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H4SA032363,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H4SA039121,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H4SA039202,2025-12-20T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H6SA040352,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H7SA038688,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H7SA039064,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H8SA039283,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62H8SA039946,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJB62HXSA039222,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H1TA004399,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H2TA003357,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H3TA003321,2025-12-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H3TA003481,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H5TA004390,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H6TA003393,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H6TA003426,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H7TA000762,2026-02-10T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H7TA004066,2025-12-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H7TA004486,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H9TA003341,2025-12-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62H9TA004781,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJD62HXTA004613,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H1SA037380,2025-12-24T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H1SA037508,2025-12-19T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H1SA037542,2025-12-19T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H2SA034746,2025-12-19T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H2SA039560,2026-01-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H3SA032780,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H3SA038532,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H4SA037731,2026-02-02T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H4SA038927,2026-01-03T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H4SA041102,2025-12-12T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H5SA037673,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H5SA037740,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H5SA040539,2025-12-23T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H9SA032993,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H9SA034615,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA032792,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA032906,2025-12-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA032937,2025-12-01T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA034767,2025-12-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA037832,2026-01-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXSA038933,2025-12-30T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62HXTA003472,2025-12-27T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
8AWJW62H0SA028461,2025-12-05T00:00:00.000Z,Espasa S.A.,INGRESO,slelsener@gmail.com,sol,El Molino,handInput,10
